id,sync_type,started_at,completed_at,records_processed,records_created,records_updated,records_failed,status,error_message,error_details,shopify_shop_domain,last_shopify_id,tenant_id
1,products,2026-03-11 23:02:46.562285+00:00,2026-03-11 23:02:54.899191+00:00,0,0,0,0,failed,API request failed after 3 retries: 403 Client Error: Forbidden for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250,{},moioplatform.myshopify.com,,1
2,customers,2026-03-11 23:02:54.947342+00:00,2026-03-11 23:03:03.308413+00:00,0,0,0,0,failed,API request failed after 3 retries: 403 Client Error: Forbidden for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250,{},moioplatform.myshopify.com,,1
3,orders,2026-03-11 23:03:03.368495+00:00,2026-03-11 23:03:11.868601+00:00,0,0,0,0,failed,API request failed after 3 retries: 403 Client Error: Forbidden for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250,{},moioplatform.myshopify.com,,1
4,products,2026-03-11 23:15:21.588116+00:00,2026-03-11 23:15:29.960883+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250,{},moioplatform.myshopify.com,,1
5,products,2026-03-11 23:32:51.106794+00:00,2026-03-11 23:32:59.973877+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
6,products,2026-03-11 23:56:32.931229+00:00,2026-03-11 23:56:41.257827+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
7,products,2026-03-12 00:09:51.678035+00:00,2026-03-12 00:09:59.916856+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
8,customers,2026-03-12 00:09:59.967613+00:00,2026-03-12 00:10:08.253672+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
9,orders,2026-03-12 00:10:08.273050+00:00,2026-03-12 00:10:16.536155+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
10,products,2026-03-12 00:10:58.581066+00:00,2026-03-12 00:11:06.996332+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
11,customers,2026-03-12 00:11:07.065234+00:00,2026-03-12 00:11:15.315248+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
12,orders,2026-03-12 00:11:15.397959+00:00,2026-03-12 00:11:23.688221+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
13,products,2026-03-12 00:16:49.561434+00:00,2026-03-12 00:16:57.922795+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
14,customers,2026-03-12 00:16:57.951811+00:00,2026-03-12 00:17:06.193463+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
15,orders,2026-03-12 00:17:06.229203+00:00,2026-03-12 00:17:14.575314+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
16,products,2026-03-12 00:18:59.950007+00:00,2026-03-12 00:19:08.347697+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
17,customers,2026-03-12 00:19:08.407432+00:00,2026-03-12 00:19:16.839936+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
18,orders,2026-03-12 00:19:16.858080+00:00,2026-03-12 00:19:25.092603+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
19,products,2026-03-12 00:22:02.708311+00:00,2026-03-12 00:22:11.068763+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
20,customers,2026-03-12 00:22:11.090718+00:00,2026-03-12 00:22:19.357012+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
21,orders,2026-03-12 00:22:19.403818+00:00,2026-03-12 00:22:27.650191+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
22,products,2026-03-12 00:24:06.199638+00:00,2026-03-12 00:24:14.471053+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
23,customers,2026-03-12 00:24:14.669346+00:00,2026-03-12 00:24:23.015973+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
24,orders,2026-03-12 00:24:23.130047+00:00,2026-03-12 00:24:31.353761+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
25,products,2026-03-12 00:25:40.477265+00:00,2026-03-12 00:25:48.849439+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
26,customers,2026-03-12 00:25:48.888839+00:00,2026-03-12 00:25:57.233827+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
27,orders,2026-03-12 00:25:57.312238+00:00,2026-03-12 00:26:05.569149+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
28,products,2026-03-12 00:31:00.439214+00:00,2026-03-12 00:31:08.972972+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
29,customers,2026-03-12 00:31:09.003923+00:00,2026-03-12 00:31:17.256063+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
30,orders,2026-03-12 00:31:17.318248+00:00,2026-03-12 00:31:25.560926+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
